"CMS Certification Number (CCN)","Provider Name","Provider Address",City/Town,State,"ZIP Code","Telephone Number","Provider SSA County Code",County/Parish,Urban,"Ownership Type","Number of Certified Beds","Average Number of Residents per Day","Average Number of Residents per Day Footnote","Provider Type","Provider Resides in Hospital","Legal Business Name","Date First Approved to Provide Medicare and Medicaid Services","Chain Name","Chain ID","Number of Facilities in Chain","Chain Average Overall 5-star Rating","Chain Average Health Inspection Rating","Chain Average Staffing Rating","Chain Average QM Rating","Continuing Care Retirement Community","Special Focus Status","Abuse Icon","Most Recent Health Inspection More Than 2 Years Ago","Provider Changed Ownership in Last 12 Months","With a Resident and Family Council","Automatic Sprinkler Systems in All Required Areas","Overall Rating","Overall Rating Footnote","Health Inspection Rating","Health Inspection Rating Footnote","QM Rating","QM Rating Footnote","Long-Stay QM Rating","Long-Stay QM Rating Footnote","Short-Stay QM Rating","Short-Stay QM Rating Footnote","Staffing Rating","Staffing Rating Footnote","Reported Staffing Footnote","Physical Therapist Staffing Footnote","Reported Nurse Aide Staffing Hours per Resident per Day","Reported LPN Staffing Hours per Resident per Day","Reported RN Staffing Hours per Resident per Day","Reported Licensed Staffing Hours per Resident per Day","Reported Total Nurse Staffing Hours per Resident per Day","Total number of nurse staff hours per resident per day on the weekend","Registered Nurse hours per resident per day on the weekend","Reported Physical Therapist Staffing Hours per Resident Per Day","Total nursing staff turnover","Total nursing staff turnover footnote","Registered Nurse turnover","Registered Nurse turnover footnote","Number of administrators who have left the nursing home","Administrator turnover footnote","Nursing Case-Mix Index","Nursing Case-Mix Index Ratio","Case-Mix Nurse Aide Staffing Hours per Resident per Day","Case-Mix LPN Staffing Hours per Resident per Day","Case-Mix RN Staffing Hours per Resident per Day","Case-Mix Total Nurse Staffing Hours per Resident per Day","Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day","Adjusted Nurse Aide Staffing Hours per Resident per Day","Adjusted LPN Staffing Hours per Resident per Day","Adjusted RN Staffing Hours per Resident per Day","Adjusted Total Nurse Staffing Hours per Resident per Day","Adjusted Weekend Total Nurse Staffing Hours per Resident per Day","Rating Cycle 1 Standard Survey Health Date","Rating Cycle 1 Total Number of Health Deficiencies","Rating Cycle 1 Number of Standard Health Deficiencies","Rating Cycle 1 Number of Complaint Health Deficiencies","Rating Cycle 1 Health Deficiency Score","Rating Cycle 1 Number of Health Revisits","Rating Cycle 1 Health Revisit Score","Rating Cycle 1 Total Health Score","Rating Cycle 2 Standard Health Survey Date","Rating Cycle 2/3 Total Number of Health Deficiencies","Rating Cycle 2 Number of Standard Health Deficiencies","Rating Cycle 2/3 Number of Complaint Health Deficiencies","Rating Cycle 2/3 Health Deficiency Score","Rating Cycle 2/3 Number of Health Revisits","Rating Cycle 2/3 Health Revisit Score","Rating Cycle 2/3 Total Health Score","Total Weighted Health Survey Score","Number of Citations from Infection Control Inspections","Number of Fines","Total Amount of Fines in Dollars","Number of Payment Denials","Total Number of Penalties",Location,Latitude,Longitude,"Geocoding Footnote","Processing Date"
015203,"ATTALLA REHABILITATION AND NURSING CENTER","915 STEWART AVENUE SOUTHEAST",ATTALLA,AL,35954,2565387852,270,Etowah,Y,"For profit - Corporation",182,92.0,,"Medicare and Medicaid",N,"Legal Business Name Not Available",1977-12-01,"DIVERSICARE HEALTHCARE",185,46,2.5,2.4,2.9,3.5,N,,N,Y,N,Resident,Yes,2,,1,,5,,4,,5,,2,,,,1.91479,0.73326,0.56655,1.29981,3.21460,2.50270,0.38669,0.01171,,26,,26,1,,1.11988,0.79320,1.83817,0.68109,0.54359,3.06285,2.71527,2.39678,0.91784,0.70916,4.02378,3.13268,2022-03-01,12,12,0,539,1,0,539,2019-05-05,5,5,0,158,1,0,158,443.750,,0,0.00,0,0,"915 STEWART AVENUE SOUTHEAST,ATTALLA,AL,35954",33.985,'-86.108,,2026-07-01
015204,"GOODWATER HEALTHCARE CENTER","16 JONES HILL ROAD",GOODWATER,AL,35072,2568396711,180,Coosa,N,"For profit - Corporation",72,61.5,,"Medicare and Medicaid",N,"GOODWATER HEALTHCARE CENTER LLC",1978-07-01,"PRIME HEALTH CARE ENTERPRISES",419,5,4.0,3.8,4.0,2.4,N,,N,Y,N,Resident,Yes,5,,5,,3,,3,,,2,5,,,,3.27154,0.80569,0.54869,1.35438,4.62593,3.88429,0.26437,0.00018,37.8,,25.0,,0,,1.11797,0.79185,1.83503,0.67993,0.54267,3.05763,2.71064,4.10206,1.01022,0.68798,5.80027,4.87036,2021-04-15,0,0,0,0,0,0,0,2019-03-14,0,0,0,0,0,0,0,0.000,,0,0.00,0,0,"16 JONES HILL ROAD,GOODWATER,AL,35072",33.0675,'-86.053,,2026-07-01
015206,"DECATUR HEALTH & REHAB CENTER","2326 MORGAN AVENUE SOUTHWEST",DECATUR,AL,35603,2563405765,510,Morgan,Y,"For profit - Corporation",119,110.9,,"Medicare and Medicaid",N,"DECATUR SNF OPERATIONS LLC",1977-12-01,"VENZA CARE MANAGEMENT",614,22,2.4,2.5,3.0,2.6,N,,N,N,N,Resident,Yes,1,,1,,3,,4,,2,,3,,,,2.57291,0.82116,0.57832,1.39948,3.97239,3.39309,0.27930,0.09549,61.8,,75.0,,0,,1.32159,0.93607,2.16925,0.80377,0.64151,3.61453,3.20434,2.72902,0.87098,0.61341,4.21341,3.59897,2025-02-03,11,11,11,243,1,0,243,2021-05-15,5,4,1,40,1,0,40,192.250,,4,25367.00,0,4,"2326 MORGAN AVENUE SOUTHWEST,DECATUR,AL,35603",34.5698,'-87.008,,2026-07-01
015207,"COLLINSVILLE HEALTHCARE & REHAB","685 NORTH VALLEY AVE",COLLINSVILLE,AL,35961,2565242117,240,"De Kalb",N,"For profit - Corporation",200,160.9,,"Medicare and Medicaid",N,"COLLINSVILLE NURSING HOME, INC",1977-12-01,,,,,,,,N,,N,N,N,Resident,Yes,2,,3,,1,,1,,1,,3,,,,3.04956,0.89272,0.58024,1.47296,4.52252,3.67375,0.24177,0.03087,,26,,26,2,,1.28948,0.91332,2.11654,0.78424,0.62592,3.52670,3.12648,3.31514,0.97047,0.63077,4.91638,3.99370,2025-02-13,4,4,4,28,1,0,28,2019-11-21,2,2,0,8,1,0,8,23.000,,0,0.00,0,0,"685 NORTH VALLEY AVE,COLLINSVILLE,AL,35961",34.2735,'-85.856,,2026-07-01
015208,"OZARK HEALTH AND REHABILITATION, LLC","312 BRYAN DRIVE",OZARK,AL,36360,3347742561,220,Dale,N,"For profit - Limited Liability company",149,141.4,,"Medicare and Medicaid",N,"OZARK HEALTH AND REHABILITATION, LLC",1978-01-01,"NHS MANAGEMENT",372,43,2.9,2.7,3.7,3.5,N,,N,Y,N,Resident,Yes,3,,3,,4,,4,,5,,4,,,,2.49295,0.87968,0.37161,1.25130,3.74424,3.24183,0.16519,0.01018,46.3,,37.5,,0,,1.13575,0.80444,1.86421,0.69074,0.55130,3.10625,2.75374,3.07688,1.08574,0.45866,4.62127,4.00118,2023-06-16,3,3,0,12,1,0,12,2019-06-13,2,2,0,20,1,0,20,14.000,,0,0.00,0,0,"312 BRYAN DRIVE,OZARK,AL,36360",31.4731,'-85.636,,2026-07-01
015209,"DIVERSICARE OF BESSEMER","820 GOLF COURSE ROAD",BESSEMER,AL,35020,2054255241,360,Jefferson,Y,"For profit - Corporation",180,140.6,,"Medicare and Medicaid",N,"DIVERSICARE OF BESSEMER LLC",1978-01-01,"DIVERSICARE HEALTHCARE",185,46,2.5,2.4,2.9,3.5,N,,N,Y,N,Resident,Yes,1,,1,,2,,2,,,2,3,,,,2.22525,0.59011,0.51594,1.10605,3.33129,2.90876,0.33790,0.01545,56.8,,50.0,,1,,1.08717,0.77003,1.78448,0.66120,0.52772,2.97340,2.63597,2.86919,0.76087,0.66524,4.29530,3.75049,2022-12-02,13,13,0,100,1,0,100,2021-06-24,11,11,0,100,1,0,100,100.000,,0,0.00,0,0,"820 GOLF COURSE ROAD,BESSEMER,AL,35020",33.3694,'-86.992,,2026-07-01
015210,"OPP HEALTH AND REHABILITATION, LLC","115 PAULK AVENUE",OPP,AL,36467,3344934558,190,Covington,N,"For profit - Corporation",197,162.9,,"Medicare and Medicaid",N,"OPP HEALTH AND REHABILITATION, LLC",1978-01-01,"NHS MANAGEMENT",372,43,2.9,2.7,3.7,3.5,N,,N,Y,N,Both,Yes,3,,3,,2,,3,,2,,3,,,,2.25331,0.68699,0.45510,1.14209,3.39540,2.86849,0.10645,0.00751,45.3,,41.2,,1,,1.18427,0.83880,1.94385,0.72025,0.57485,3.23895,2.87138,2.66717,0.81317,0.53869,4.01902,3.39534,2020-03-02,1,1,0,16,1,0,16,2019-05-22,3,3,0,24,1,0,24,18.000,,0,0.00,0,0,"115 PAULK AVENUE,OPP,AL,36467",31.2934,'-86.255,,2026-07-01
015211,"TWIN OAKS REHABILITATION AND HEALTHCARE CENTER","857 CRAWFORD LANE",MOBILE,AL,36617,2514763420,480,Mobile,Y,"For profit - Corporation",131,123.7,,"Medicare and Medicaid",N,"TWIN OAKS NURSING HOME LLC",1978-01-01,"BALL HEALTHCARE SERVICES",66,9,2.7,2.8,3.2,3.0,N,,N,Y,N,None,Yes,4,,4,,4,,4,,3,,3,,,,1.90633,0.93178,0.53412,1.46591,3.37223,2.61677,0.20844,0.04284,34.0,,23.1,,0,,1.34107,0.94987,2.20123,0.81562,0.65096,3.66782,3.25158,1.99262,0.97396,0.55830,3.52488,2.73522,2023-10-26,2,2,0,12,1,0,12,2021-08-05,1,1,0,4,1,0,4,10.000,,0,0.00,0,0,"857 CRAWFORD LANE,MOBILE,AL,36617",30.7168,'-88.074,,2026-07-01
015212,"SELF SKILLED NURSING & REHAB","131 EAST CREST ROAD",HUEYTOWN,AL,35023,2054912411,360,Jefferson,Y,"For profit - Corporation",131,95.2,,"Medicare and Medicaid",N,"SELF SKILLED NURSING, LLC",1978-01-01,"TRAYLOR PORTER HEALTHCARE",782,5,3.0,2.0,4.4,3.8,N,,N,Y,N,Resident,Yes,1,,1,,2,,3,,1,,4,,,,2.71865,1.06415,0.42037,1.48452,4.20318,3.64122,0.24191,0.03250,51.1,,33.3,,0,,1.18406,0.83866,1.94351,0.72013,0.57475,3.23839,2.87089,3.21854,1.25982,0.49767,4.97602,4.31074,2021-03-18,11,11,0,72,1,0,72,2019-02-07,5,5,0,44,1,0,44,65.000,,0,0.00,0,0,"131 EAST CREST ROAD,HUEYTOWN,AL,35023",33.4582,'-86.992,,2026-07-01
015213,"TROY HEALTH & REHABILITATION CENTER","515 ELBA HIGHWAY",TROY,AL,36079,3345660880,540,Pike,N,"For profit - Corporation",220,130.4,,"Medicare and Medicaid",N,"CARING CORPORATION INC",1978-01-01,,,,,,,,N,,N,Y,N,Resident,Yes,1,,1,,1,,2,,1,,4,,,,2.22821,0.79968,0.47559,1.27526,3.50347,2.89125,0.06159,0.00000,40.4,,18.2,,0,,1.27590,0.90371,2.09426,0.77598,0.61933,3.48958,3.09357,2.44803,0.87857,0.52251,3.84911,3.17648,2022-10-20,6,6,0,72,1,0,72,2019-10-24,2,2,0,20,1,0,20,59.000,,0,0.00,0,0,"515 ELBA HIGHWAY,TROY,AL,36079",31.7789,'-85.963,,2026-07-01
015214,"MADISON MANOR NURSING HOME","3891 SULLIVAN ST",MADISON,AL,35758,2567729243,440,Madison,Y,"For profit - Corporation",80,73.6,,"Medicare and Medicaid",N,"MADISON MANOR NURSING HOME LLC",1982-08-01,"CROWNE HEALTH CARE",174,18,4.2,3.8,4.6,2.8,N,,N,N,N,Resident,Yes,3,,3,,2,,4,,1,,4,,,,2.78823,0.79462,0.72391,1.51854,4.30677,3.56698,0.35251,0.01915,49.5,,50.0,,0,,1.27933,0.90614,2.09989,0.77807,0.62099,3.49895,3.10187,3.05510,0.87068,0.79320,4.71897,3.90838,2024-08-15,3,3,2,12,1,0,12,2019-07-25,3,3,0,24,1,0,24,15.000,,0,0.00,0,0,"3891 SULLIVAN ST,MADISON,AL,35758",34.6839,'-86.752,,2026-07-01
015215,"BIBB MEDICAL CENTER NURSING HOME","208 PIERSON AVE",CENTREVILLE,AL,35042,2059263308,030,Bibb,Y,"Government - County",131,108.3,,"Medicare and Medicaid",Y,"THE BIBB COUNTY HEALTHCARE AUTHORITY",1977-11-01,,,,,,,,Y,,N,Y,N,Resident,Yes,1,,1,,3,,2,,3,,3,,,,2.10491,0.73093,0.39911,1.13004,3.23495,2.84346,0.09399,0.01596,53.1,,50.0,,,26,1.14789,0.81304,1.88414,0.69813,0.55719,3.13945,2.78318,2.57048,0.89259,0.48739,3.95046,3.47238,2023-11-30,5,5,0,60,1,0,60,2019-08-22,3,3,0,16,1,0,16,49.000,,0,0.00,0,0,"208 PIERSON AVE,CENTREVILLE,AL,35042",32.9509,'-87.148,,2026-07-01
015216,"OAKVIEW MANOR HEALTH CARE CENTER","929 MIXON SCHOOL ROAD",OZARK,AL,36360,3347742631,220,Dale,N,"Non profit - Corporation",138,96.9,,"Medicare and Medicaid",N,"UNITED STATES HEALTH & HOUSING FOUNDATION, INC",1978-01-01,,,,,,,,N,,N,Y,N,Resident,Yes,3,,4,,3,,4,,2,,1,24,,,2.02555,0.59848,0.25012,0.84860,2.87416,2.58124,0.44288,0.01272,45.9,,50.0,,,26,1.17611,0.83303,1.93047,0.71529,0.57089,3.21665,2.85161,2.41420,0.71331,0.29811,3.42563,3.07651,2023-07-13,1,1,0,4,1,0,4,2019-11-14,2,2,0,20,1,0,20,8.000,,0,0.00,0,0,"929 MIXON SCHOOL ROAD,OZARK,AL,36360",31.4287,'-85.646,,2026-07-01
015217,"BIRMINGHAM NURSING AND REHABILITATION CTR LLC","1000 DUGAN AVENUE",BIRMINGHAM,AL,35214,2057988780,360,Jefferson,Y,"For profit - Limited Liability company",132,111.7,,"Medicare and Medicaid",N,"Legal Business Name Not Available",1978-01-01,"NORBERT BENNETT & DONALD DENZ",771,25,1.6,1.9,2.2,2.3,N,,Y,Y,N,Resident,Yes,1,,1,,4,,5,,3,,2,,,,1.86754,0.97750,0.38900,1.36650,3.23404,2.44415,0.23161,0.07672,63.2,,54.5,,0,,1.15651,0.81915,1.89829,0.70337,0.56138,3.16304,2.80409,2.26360,1.18480,0.47149,3.91989,2.96249,2024-06-26,8,1,7,266,1,0,266,2024-01-25,8,4,4,48,1,0,48,211.500,,2,74848.00,1,3,"1000 DUGAN AVENUE,BIRMINGHAM,AL,35214",33.5484,'-86.883,,2026-07-01
015220,"CROWNE HEALTH CARE OF THOMASVILLE","1425 MOSLEY DRIVE",THOMASVILLE,AL,36784,3346365614,120,Clarke,N,"For profit - Corporation",80,66.4,,"Medicare and Medicaid",N,"CROWNE HEALTH CARE OF THOMASVILLE,LLC",1977-07-01,"CROWNE HEALTH CARE",174,18,4.2,3.8,4.6,2.8,N,,N,Y,N,Resident,Yes,5,,5,,3,,4,,3,,5,,,,3.05100,0.91690,0.68916,1.60607,4.65707,3.40842,0.30876,0.00730,38.2,,30.8,,0,,1.22695,0.86903,2.01391,0.74621,0.59557,3.35568,2.97487,3.48575,1.04756,0.78736,5.32067,3.89410,2021-12-09,0,0,0,0,0,0,0,2019-04-11,2,2,0,4,1,0,4,1.000,,0,0.00,0,0,"1425 MOSLEY DRIVE,THOMASVILLE,AL,36784",31.9303,'-87.737,,2026-07-01
015221,"CHAPMAN HEALTHCARE CENTER, INC","3701 DADEVILLE ROAD","ALEXANDER CITY",AL,35010,2562346366,610,Tallapoosa,N,"For profit - Corporation",188,145.3,,"Medicare and Medicaid",N,"CHAPMAN HEALTHCARE CENTER, INC.",1978-02-01,"PRIME HEALTH CARE ENTERPRISES",419,5,4.0,3.8,4.0,2.4,N,,N,Y,N,Resident,Yes,5,,4,,2,,2,,1,,5,,,,3.08826,0.61203,0.60303,1.21506,4.30332,3.95195,0.42249,0.00338,33.5,,21.4,,0,,1.19123,0.84373,1.95528,0.72448,0.57823,3.25799,2.88826,3.63411,0.72021,0.70962,5.06394,4.65045,2021-09-10,0,0,0,0,0,0,0,2019-05-09,3,3,0,24,1,0,24,6.000,,0,0.00,0,0,"3701 DADEVILLE ROAD,ALEXANDER CITY,AL,35010",32.9095,'-85.922,,2026-07-01
015222,"FAIRHOPE HEALTH & REHAB","108 SOUTH CHURCH STREET",FAIRHOPE,AL,36532,2519282153,010,Baldwin,Y,"Non profit - Corporation",131,74.0,,"Medicare and Medicaid",N,"NOLAND FAIRHOPE LLC",1981-03-12,"NOLAND HEALTH",374,10,2.7,2.5,4.1,3.0,N,,N,Y,N,Resident,Yes,2,,2,,3,,4,,2,,4,,,,2.61157,0.97041,0.42286,1.39327,4.00484,3.33503,0.39822,0.03305,35.1,,50.0,,0,,1.11691,0.79110,1.83329,0.67929,0.54215,3.05473,2.70807,3.27765,1.21791,0.53071,5.02628,4.18563,2022-02-25,6,6,0,48,1,0,48,2019-05-23,1,1,0,4,1,0,4,37.000,,0,0.00,0,0,"108 SOUTH CHURCH STREET,FAIRHOPE,AL,36532",30.5216,'-87.905,,2026-07-01
015223,"NORTHSIDE HEALTH CARE","700 HUTCHINS AVENUE",GADSDEN,AL,35901,2565437101,270,Etowah,Y,"For profit - Corporation",115,105.6,,"Medicare and Medicaid",N,"NORTHSIDE SNF OPERATIONS LLC",1978-08-21,"VENZA CARE MANAGEMENT",614,22,2.4,2.5,3.0,2.6,N,,N,Y,N,Resident,Yes,3,,3,,2,,4,,1,,4,,,,2.39017,0.67562,0.66841,1.34403,3.73420,3.18995,0.32772,0.04362,56.0,,55.6,,0,,1.24899,0.88465,2.05008,0.75961,0.60626,3.41596,3.02831,2.68256,0.75826,0.75018,4.19100,3.58018,2019-10-17,2,2,0,20,1,0,20,2018-09-06,4,4,0,28,1,0,28,22.000,,1,221520.00,0,1,"700 HUTCHINS AVENUE,GADSDEN,AL,35901",34.0418,'-85.959,,2026-07-01
015225,"BARFIELD HEALTH CARE","22444 HIGHWAY 431",GUNTERSVILLE,AL,35976,2565823112,470,Marshall,N,"For profit - Corporation",113,109.3,,"Medicare and Medicaid",N,"BARFIELD HEALTH CARE ACQUISITION CORPORATION",1979-02-20,"REHAB SELECT",444,5,3.6,3.2,3.8,3.2,N,,N,Y,N,Both,Yes,5,,4,,5,,4,,5,,3,,,,2.98622,0.90443,0.39851,1.30293,4.28915,3.20996,0.20520,0.00705,57.1,,73.7,,0,,1.20950,0.85668,1.98528,0.73560,0.58710,3.30797,2.93257,3.46094,1.04820,0.46186,4.97099,3.72024,2021-04-16,2,2,0,8,1,0,8,2019-10-31,0,0,0,0,0,0,0,6.000,,0,0.00,0,0,"22444 HIGHWAY 431,GUNTERSVILLE,AL,35976",34.4235,'-86.263,,2026-07-01
015227,"SOUTHERN HEALTH AND REHAB OF VERNON","1050 CONVALESCENT ROAD",VERNON,AL,35592,2056959313,370,Lamar,N,"For profit - Corporation",158,107.3,,"Medicare and Medicaid",N,"Legal Business Name Not Available",1979-10-01,,,,,,,,N,,N,Y,N,Resident,Yes,2,,2,,2,,2,,3,,3,,,,2.46385,0.54625,0.81808,1.36433,3.82817,3.31548,0.58537,0.00310,,26,,26,,26,1.15733,0.81972,1.89963,0.70387,0.56177,3.16527,2.80606,2.98427,0.66163,0.99087,4.63677,4.01578,2022-04-01,0,0,0,0,0,0,0,2019-08-04,2,2,0,104,1,0,104,26.000,,0,0.00,0,0,"1050 CONVALESCENT ROAD,VERNON,AL,35592",33.7212,'-88.167,,2026-07-01
015228,"Rivertown Health and Rehabilitation Center","4490 VIRGINIA LOOP ROAD",MONTGOMERY,AL,36116,3342816826,500,Montgomery,Y,"For profit - Limited Liability company",121,111.8,,"Medicare and Medicaid",N,"ARABELLA HEALTH & WELLNESS OF MONTGOMERY OPCO LLC",1980-09-30,"ARABELLA HEALTHCARE MANAGEMENT",633,13,2.7,2.6,2.9,3.2,N,,N,N,N,Resident,Yes,1,,1,,4,,4,,3,,3,,,,1.95334,0.60868,0.86568,1.47436,3.42770,2.87081,0.56249,0.00000,55.9,,44.4,,3,,1.21078,0.85758,1.98736,0.73637,0.58772,3.31145,2.93566,2.26148,0.70470,1.00224,3.96843,3.32368,2025-07-24,10,10,5,60,1,0,60,2023-01-11,17,12,5,108,1,0,108,72.000,5,0,0.00,0,0,"4490 VIRGINIA LOOP ROAD,MONTGOMERY,AL,36116",32.3179,'-86.239,,2026-07-01
015303,"REDMONT HEALTH AND REHABILITATION CENTER","1028 BESSEMER RD",BIRMINGHAM,AL,35228,2059231777,360,Jefferson,Y,"For profit - Individual",163,98.2,,"Medicare and Medicaid",N,"ARABELLA HEALTH & WELLNESS OF BESSEMER OPCO LLC",1973-02-01,"ARABELLA HEALTHCARE MANAGEMENT",633,13,2.7,2.6,2.9,3.2,N,,N,Y,N,Both,Yes,3,,3,,3,,4,,2,,3,,,,2.15116,0.65930,0.67336,1.33266,3.48382,2.96351,0.19772,0.01957,59.6,,71.4,,0,,1.17261,0.83055,1.92471,0.71316,0.56919,3.20706,2.84311,2.57157,0.78815,0.80496,4.16469,3.54268,2022-10-27,4,4,0,20,1,0,20,2019-12-12,5,5,0,20,1,0,20,20.000,,0,0.00,0,0,"1028 BESSEMER RD,BIRMINGHAM,AL,35228",33.4758,'-86.899,,2026-07-01
015315,"RIDGEWOOD HEALTH SERVICES, INC.","201 OAKHILL ROAD",JASPER,AL,35504,2052214862,630,Walker,Y,"For profit - Individual",98,83.3,,"Medicare and Medicaid",N,"RIDGEWOOD HEALTH SERVICES, INC.",1977-11-01,,,,,,,,N,,N,Y,N,Both,Yes,4,,3,,5,,4,,5,,4,,,,2.27481,0.91789,0.69382,1.61170,3.88651,3.15706,0.24210,0.01877,49.3,,28.6,,0,,1.13728,0.80552,1.86672,0.69167,0.55204,3.11044,2.75745,2.80387,1.13136,0.85518,4.79041,3.89130,2020-01-09,2,2,0,20,1,0,20,2018-12-20,0,0,0,0,0,0,0,15.000,,0,0.00,0,0,"201 OAKHILL ROAD,JASPER,AL,35504",33.8544,'-87.287,,2026-07-01
015320,"ENTERPRISE HEALTH & REHABILITATION CENTER","300 PLAZA DRIVE",ENTERPRISE,AL,36331,3343479541,150,Coffee,N,"Non profit - Corporation",257,156.8,,"Medicare and Medicaid",N,"THE HEALTH CARE AUTHORITY OF THE CITY OF ENTERPRISE, INC.",1977-10-01,,,,,,,,N,,Y,N,N,Resident,Yes,1,,1,,2,,2,,3,,4,,,,3.46655,1.07940,0.64296,1.72237,5.18892,4.37146,0.31698,0.03312,40.5,,47.8,,2,,1.27997,0.90659,2.10093,0.77845,0.62130,3.50069,3.10342,3.79645,1.18213,0.70415,5.68273,4.78747,2026-01-18,5,1,4,220,1,0,220,2019-11-06,4,4,0,28,1,0,28,172.000,,1,85230.00,1,2,"300 PLAZA DRIVE,ENTERPRISE,AL,36331",31.3028,'-85.837,,2026-07-01
015321,"SOUTH HAVEN HEALTH AND REHABILITATION, LLC","3141 OLD COLUMBIANA ROAD",BIRMINGHAM,AL,35226,2058221580,360,Jefferson,Y,"For profit - Individual",101,96.4,,"Medicare and Medicaid",N,"SOUTH HAVEN HEALTH AND REHABILITATION LLC",1971-11-01,"NHS MANAGEMENT",372,43,2.9,2.7,3.7,3.5,N,,N,Y,N,Resident,Yes,3,,3,,2,,2,,2,,4,,,,2.65895,0.71126,0.57890,1.29015,3.94911,3.07800,0.33859,0.01745,50.0,,26.7,,1,,1.15396,0.81734,1.89411,0.70182,0.56014,3.15606,2.79790,3.22997,0.86400,0.70322,4.79719,3.73900,2022-07-14,1,1,0,8,1,0,8,2019-06-20,9,3,6,60,1,0,60,21.000,,0,0.00,0,0,"3141 OLD COLUMBIANA ROAD,BIRMINGHAM,AL,35226",33.4049,'-86.808,,2026-07-01
015322,"ENGLEWOOD HEALTH CARE CENTER","2046 SOUTH ALABAMA AVE",MONROEVILLE,AL,36460,2515753285,490,Monroe,N,"For profit - Corporation",87,71.2,,"Medicare and Medicaid",N,"ENGLEWOOD HEALTH CARE CENTER, LLC",1972-10-01,"CROWNE HEALTH CARE",174,18,4.2,3.8,4.6,2.8,N,,N,Y,N,Both,Yes,5,,4,,3,,2,,3,,5,,,,3.25234,1.42989,0.59744,2.02733,5.27967,4.27378,0.11535,0.05403,34.7,,35.7,,0,,1.30837,0.92671,2.14755,0.79573,0.63509,3.57837,3.17228,3.48454,1.53197,0.64009,5.65660,4.57890,2021-06-14,1,1,0,4,0,0,4,2019-04-18,3,3,0,24,1,0,24,9.000,,0,0.00,0,0,"2046 SOUTH ALABAMA AVE,MONROEVILLE,AL,36460",31.4962,'-87.32,,2026-07-01
015326,"PARK MANOR HEALTH AND REHABILITATION, LLC","2201 MCFARLAND BOULEVARD",NORTHPORT,AL,35476,2053395300,620,Tuscaloosa,Y,"For profit - Limited Liability company",152,143.5,,"Medicare and Medicaid",N,"PARK MANOR HEALTH AND REHABILITATION, LLC",1979-10-01,"NHS MANAGEMENT",372,43,2.9,2.7,3.7,3.5,N,,N,Y,N,Resident,Yes,3,,3,,3,,5,,1,,4,,,,2.58343,0.73090,0.57744,1.30835,3.89178,3.14889,0.14690,0.01381,57.8,,54.5,,0,,1.14540,0.81128,1.88006,0.69661,0.55598,3.13265,2.77715,3.16168,0.89450,0.70669,4.76288,3.85370,2021-08-26,0,0,0,0,0,0,0,2019-06-21,7,7,0,52,1,0,52,13.000,,0,0.00,0,0,"2201 MCFARLAND BOULEVARD,NORTHPORT,AL,35476",33.2398,'-87.579,,2026-07-01
015330,"MARENGO NURSING HOME","608 NORTH MAIN STREET",LINDEN,AL,36748,3342958631,450,Marengo,N,"Non profit - Other",78,64.3,,"Medicare and Medicaid",N,"LINDEN HOSPITAL BOARD",1971-04-08,,,,,,,,N,,N,Y,N,Resident,Yes,4,,4,,5,,5,,,2,1,25,25,6,,,,,,,,,,26,,26,1,,,,,,,,,,,,,,2022-01-06,1,1,0,4,1,0,4,2019-05-08,5,5,0,28,1,0,28,10.000,0,0,0.00,0,0,"608 NORTH MAIN STREET,LINDEN,AL,36748",32.3123,'-87.798,,2026-07-01
015331,"BRIDGEWAY HEALTH AND REHABILITATION CENTER","3900 LAKEWOOD DRIVE","PHENIX CITY",AL,36867,3342988247,560,Russell,Y,"For profit - Corporation",86,76.5,,"Medicare and Medicaid",N,"ARABELLA HEALTH AND WELLNESS OF PHENIX CITY LLC",1972-01-01,"ARABELLA HEALTHCARE MANAGEMENT",633,13,2.7,2.6,2.9,3.2,N,,N,Y,N,Resident,Yes,3,,3,,3,,3,,3,,3,,,,1.80469,0.92801,0.87223,1.80024,3.60493,2.76598,0.27016,0.03575,41.9,,41.2,,2,,1.35021,0.95634,2.21623,0.82117,0.65540,3.69280,3.27372,1.87361,0.96346,0.90555,3.74262,2.87162,2020-01-09,2,2,0,20,1,0,20,2018-11-29,3,3,0,24,1,0,24,21.000,,0,0.00,0,0,"3900 LAKEWOOD DRIVE,PHENIX CITY,AL,36867",32.4951,'-85.036,,2026-07-01
015336,"LUVERNE HEALTH AND REHABILITATION, LLC","142 WEST THIRD STREET",LUVERNE,AL,36049,3343356528,200,Crenshaw,N,"For profit - Corporation",151,142.0,,"Medicare and Medicaid",N,"LUVERNE HEALTH AND REHABILITATION, LLC",1973-10-16,"NHS MANAGEMENT",372,43,2.9,2.7,3.7,3.5,N,,N,Y,N,Both,Yes,4,,4,,3,,3,,3,,3,,,,2.44281,0.78737,0.40659,1.19396,3.63677,3.10849,0.19433,0.00620,51.8,,66.7,,1,,1.12208,0.79476,1.84178,0.68243,0.54466,3.06887,2.72060,3.05172,0.98363,0.50795,4.54330,3.88334,2021-07-29,2,2,0,8,1,0,8,2019-12-19,2,2,0,8,1,0,8,8.000,,0,0.00,0,0,"142 WEST THIRD STREET,LUVERNE,AL,36049",31.7163,'-86.266,,2026-07-01
